sales_id,esp_id,emp_id,year,week,quantity
1,ESP_001,EMP234,2020,W0,3
2,ESP_001,EMP234,2020,W1,3
3,ESP_001,EMP234,2020,W2,3
4,ESP_001,EMP234,2020,W3,6
5,ESP_001,EMP234,2020,W4,12
6,ESP_001,EMP234,2020,W5,7
7,ESP_001,EMP234,2020,W6,6
8,ESP_001,EMP234,2020,W7,7
9,ESP_001,EMP234,2020,W8,5
10,ESP_001,EMP234,2020,W9,3
11,ESP_001,EMP234,2020,W10,1
12,ESP_001,EMP234,2020,W11,1
13,ESP_001,EMP234,2020,W12,0
14,ESP_001,EMP234,2020,W13,1
15,ESP_001,EMP234,2020,W14,2
16,ESP_001,EMP234,2020,W15,4
17,ESP_001,EMP234,2020,W16,8
18,ESP_001,EMP234,2020,W17,6
19,ESP_001,EMP234,2020,W18,7
20,ESP_001,EMP234,2020,W19,5
21,ESP_001,EMP234,2020,W20,7
22,ESP_001,EMP234,2020,W21,9
23,ESP_001,EMP234,2020,W22,11
24,ESP_001,EMP234,2020,W23,11
25,ESP_001,EMP234,2020,W24,8
26,ESP_001,EMP234,2020,W25,6
27,ESP_001,EMP234,2020,W26,7
28,ESP_001,EMP234,2020,W27,4
29,ESP_001,EMP234,2020,W28,4
30,ESP_001,EMP234,2020,W29,4
31,ESP_001,EMP234,2020,W30,6
32,ESP_001,EMP234,2020,W31,8
33,ESP_001,EMP234,2020,W32,13
34,ESP_001,EMP234,2020,W33,10
35,ESP_001,EMP234,2020,W34,7
36,ESP_001,EMP234,2020,W35,4
37,ESP_001,EMP234,2020,W36,7
38,ESP_001,EMP234,2020,W37,9
39,ESP_001,EMP234,2020,W38,7
40,ESP_001,EMP234,2020,W39,3
41,ESP_001,EMP234,2020,W40,1
42,ESP_001,EMP234,2020,W41,2
43,ESP_001,EMP234,2020,W42,1
44,ESP_001,EMP234,2020,W43,1
45,ESP_001,EMP234,2020,W44,0
46,ESP_001,EMP234,2020,W45,0
47,ESP_001,EMP234,2020,W46,0
48,ESP_001,EMP234,2020,W47,0
49,ESP_001,EMP234,2020,W48,0
50,ESP_001,EMP234,2020,W49,0
51,ESP_001,EMP234,2020,W50,0
52,ESP_001,EMP234,2020,W51,0
53,ESP_001,EMP234,2021,W0,0
54,ESP_001,EMP234,2021,W1,0
55,ESP_001,EMP234,2021,W2,0
56,ESP_001,EMP234,2021,W3,3
57,ESP_001,EMP234,2021,W4,3
58,ESP_001,EMP234,2021,W5,5
59,ESP_001,EMP234,2021,W6,4
60,ESP_001,EMP234,2021,W7,8
61,ESP_001,EMP234,2021,W8,13
62,ESP_001,EMP234,2021,W9,7
63,ESP_001,EMP234,2021,W10,4
64,ESP_001,EMP234,2021,W11,2
65,ESP_001,EMP234,2021,W12,2
66,ESP_001,EMP234,2021,W13,3
67,ESP_001,EMP234,2021,W14,3
68,ESP_001,EMP234,2021,W15,7
69,ESP_001,EMP234,2021,W16,8
70,ESP_001,EMP234,2021,W17,8
71,ESP_001,EMP234,2021,W18,10
72,ESP_001,EMP234,2021,W19,11
73,ESP_001,EMP234,2021,W20,11
74,ESP_001,EMP234,2021,W21,10
75,ESP_001,EMP234,2021,W22,13
76,ESP_001,EMP234,2021,W23,15
77,ESP_001,EMP234,2021,W24,11
78,ESP_001,EMP234,2021,W25,9
79,ESP_001,EMP234,2021,W26,7
80,ESP_001,EMP234,2021,W27,8
81,ESP_001,EMP234,2021,W28,7
82,ESP_001,EMP234,2021,W29,5
83,ESP_001,EMP234,2021,W30,9
84,ESP_001,EMP234,2021,W31,4
85,ESP_001,EMP234,2021,W32,8
86,ESP_001,EMP234,2021,W33,10
87,ESP_001,EMP234,2021,W34,4
88,ESP_001,EMP234,2021,W35,6
89,ESP_001,EMP234,2021,W36,5
90,ESP_001,EMP234,2021,W37,3
91,ESP_001,EMP234,2021,W38,6
92,ESP_001,EMP234,2021,W39,2
93,ESP_001,EMP234,2021,W40,2
94,ESP_001,EMP234,2021,W41,3
95,ESP_001,EMP234,2021,W42,2
96,ESP_001,EMP234,2021,W43,2
97,ESP_001,EMP234,2021,W44,1
98,ESP_001,EMP234,2021,W45,2
99,ESP_001,EMP234,2021,W46,2
100,ESP_001,EMP234,2021,W47,2
101,ESP_001,EMP234,2021,W48,1
102,ESP_001,EMP234,2021,W49,1
103,ESP_001,EMP234,2021,W50,1
104,ESP_001,EMP234,2021,W51,0
105,ESP_001,EMP244,2020,W0,6
106,ESP_001,EMP244,2020,W1,7
107,ESP_001,EMP244,2020,W2,9
108,ESP_001,EMP244,2020,W3,9
109,ESP_001,EMP244,2020,W4,13
110,ESP_001,EMP244,2020,W5,12
111,ESP_001,EMP244,2020,W6,18
112,ESP_001,EMP244,2020,W7,19
113,ESP_001,EMP244,2020,W8,14
114,ESP_001,EMP244,2020,W9,13
115,ESP_001,EMP244,2020,W10,10
116,ESP_001,EMP244,2020,W11,9
117,ESP_001,EMP244,2020,W12,8
118,ESP_001,EMP244,2020,W13,9
119,ESP_001,EMP244,2020,W14,10
120,ESP_001,EMP244,2020,W15,14
121,ESP_001,EMP244,2020,W16,11
122,ESP_001,EMP244,2020,W17,11
123,ESP_001,EMP244,2020,W18,14
124,ESP_001,EMP244,2020,W19,17
125,ESP_001,EMP244,2020,W20,19
126,ESP_001,EMP244,2020,W21,22
127,ESP_001,EMP244,2020,W22,24
128,ESP_001,EMP244,2020,W23,21
129,ESP_001,EMP244,2020,W24,15
130,ESP_001,EMP244,2020,W25,11
131,ESP_001,EMP244,2020,W26,10
132,ESP_001,EMP244,2020,W27,15
133,ESP_001,EMP244,2020,W28,9
134,ESP_001,EMP244,2020,W29,6
135,ESP_001,EMP244,2020,W30,10
136,ESP_001,EMP244,2020,W31,8
137,ESP_001,EMP244,2020,W32,12
138,ESP_001,EMP244,2020,W33,7
139,ESP_001,EMP244,2020,W34,16
140,ESP_001,EMP244,2020,W35,9
141,ESP_001,EMP244,2020,W36,10
142,ESP_001,EMP244,2020,W37,12
143,ESP_001,EMP244,2020,W38,15
144,ESP_001,EMP244,2020,W39,9
145,ESP_001,EMP244,2020,W40,7
146,ESP_001,EMP244,2020,W41,7
147,ESP_001,EMP244,2020,W42,10
148,ESP_001,EMP244,2020,W43,5
149,ESP_001,EMP244,2020,W44,7
150,ESP_001,EMP244,2020,W45,5
151,ESP_001,EMP244,2020,W46,8
152,ESP_001,EMP244,2020,W47,8
153,ESP_001,EMP244,2020,W48,8
154,ESP_001,EMP244,2020,W49,5
155,ESP_001,EMP244,2020,W50,3
156,ESP_001,EMP244,2020,W51,2
157,ESP_001,EMP244,2021,W0,7
158,ESP_001,EMP244,2021,W1,10
159,ESP_001,EMP244,2021,W2,9
160,ESP_001,EMP244,2021,W3,12
161,ESP_001,EMP244,2021,W4,10
162,ESP_001,EMP244,2021,W5,14
163,ESP_001,EMP244,2021,W6,16
164,ESP_001,EMP244,2021,W7,17
165,ESP_001,EMP244,2021,W8,26
166,ESP_001,EMP244,2021,W9,16
167,ESP_001,EMP244,2021,W10,14
168,ESP_001,EMP244,2021,W11,6
169,ESP_001,EMP244,2021,W12,7
170,ESP_001,EMP244,2021,W13,7
171,ESP_001,EMP244,2021,W14,7
172,ESP_001,EMP244,2021,W15,14
173,ESP_001,EMP244,2021,W16,16
174,ESP_001,EMP244,2021,W17,21
175,ESP_001,EMP244,2021,W18,18
176,ESP_001,EMP244,2021,W19,17
177,ESP_001,EMP244,2021,W20,25
178,ESP_001,EMP244,2021,W21,18
179,ESP_001,EMP244,2021,W22,21
180,ESP_001,EMP244,2021,W23,30
181,ESP_001,EMP244,2021,W24,24
182,ESP_001,EMP244,2021,W25,23
183,ESP_001,EMP244,2021,W26,10
184,ESP_001,EMP244,2021,W27,9
185,ESP_001,EMP244,2021,W28,16
186,ESP_001,EMP244,2021,W29,7
187,ESP_001,EMP244,2021,W30,9
188,ESP_001,EMP244,2021,W31,11
189,ESP_001,EMP244,2021,W32,15
